* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:07:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 3
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 86.994 152.8147
0.732422 84.794 120.3221
1.098633 82.162 73.1229
1.464844 82.657 17.7075
1.831055 85.219 -18.0049
2.197266 87.276 -38.7794
2.563477 88.704 -53.8165
2.929688 89.618 -68.6118
3.295898 89.901 -86.7653
3.662109 89.393 -111.2073
4.028320 88.285 -145.8612
4.394531 87.871 167.4485
4.760742 89.300 120.9128
5.126953 91.076 84.7455
5.493164 91.918 55.9484
5.859375 91.428 30.6871
6.225586 89.271 6.4841
6.591797 84.532 -20.5955
6.958008 74.610 -83.4928
7.324219 79.803 169.7971
7.690430 83.979 146.0334
8.056641 84.812 139.1608
8.422852 84.754 147.1016
8.789062 86.189 162.0918
9.155273 88.622 168.5617
9.521484 90.477 167.3240
9.887695 91.465 163.7059
10.253906 91.814 160.6439
10.620117 91.853 158.8217
10.986328 91.777 157.1485
11.352539 91.498 154.2442
11.718750 90.756 150.0657
12.084961 89.326 146.2220
12.451172 87.181 145.7682
12.817383 84.796 152.3568
13.183594 83.274 164.7254
13.549805 82.768 174.2427
13.916016 82.246 178.9110
14.282227 81.511 -176.6908
14.648438 81.369 -172.2456
15.014648 82.069 -175.1094
15.380859 82.788 170.5350
15.747070 83.035 146.0321
16.113281 82.882 113.7597
16.479492 82.519 76.5372
16.845703 81.862 36.8890
17.211914 80.556 -5.5422
17.578125 78.565 -56.2809
17.944336 77.753 -120.7697
18.310547 79.822 -179.5294
18.676758 82.042 138.7741
19.042969 83.072 106.7899
19.409180 82.785 80.1775
19.775391 81.143 57.7946
20.141602 77.959 40.5983
20.507812 72.788 33.1248
20.874023 65.410 54.1688
21.240234 64.525 119.3844
21.606445 69.292 146.0522
21.972656 73.024 149.2472
22.338867 75.078 140.2227
22.705078 74.878 123.9048
23.071289 70.675 100.5656
23.437500 60.654 -53.3610
23.803711 76.303 -106.0379
24.169922 81.804 -131.3900
24.536133 84.492 -155.4146
24.902344 85.416 -179.3148
25.268555 84.766 156.6462
25.634766 82.227 132.3275
26.000977 76.211 107.5815
26.367188 55.551 -99.3304
26.733398 76.628 -125.0061
27.099609 80.889 -153.7837
27.465820 82.493 174.3433
27.832031 83.111 138.7979
28.198242 83.672 101.3855
28.564453 84.510 66.5874
28.930664 85.334 37.5046
29.296875 85.791 14.1493
29.663086 85.727 -4.7311
30.029297 85.074 -20.4706
30.395508 83.707 -34.1512
30.761719 81.305 -46.2114
31.127930 77.068 -55.0784
31.494141 68.616 -44.5391
31.860352 68.729 43.8462
32.226562 74.295 48.5953
32.592773 75.130 37.6254
32.958984 71.768 24.1724
33.325195 42.549 97.1736
33.691406 74.153 170.2230
34.057617 80.300 155.7585
34.423828 83.355 141.1086
34.790039 84.820 126.8284
35.156250 85.144 113.0916
35.522461 84.454 100.0131
35.888672 82.657 87.8428
36.254883 79.299 77.6215
36.621094 72.763 75.9608
36.987305 65.846 160.8589
37.353516 75.011 -172.5234
37.719727 78.708 178.7875
38.085938 80.023 165.6218
38.452148 79.773 151.1870
38.818359 78.061 136.8544
39.184570 74.499 124.8447
39.550781 67.628 125.7329
39.916992 63.582 -159.5203
40.283203 70.340 -141.5839
40.649414 73.143 -149.7808
41.015625 73.990 -159.8966
41.381836 73.856 -166.9116
41.748047 73.609 -168.5562
42.114258 74.138 -167.3782
42.480469 75.437 -169.5957
42.846680 76.745 -177.1743
43.212891 77.518 171.9541
43.579102 77.510 160.5812
43.945312 76.587 152.1084
44.311523 74.908 152.5303
44.677734 74.207 168.1465
45.043945 76.606 -177.4690
45.410156 79.760 -178.5527
45.776367 82.141 171.7521
46.142578 83.645 158.9465
46.508789 84.381 145.9238
46.875000 84.478 134.9004
47.241211 84.185 128.2070
47.607422 84.076 127.3943
47.973633 84.896 129.6763
48.339844 86.600 128.7406
48.706055 88.456 122.3186
49.072266 89.980 111.9957
49.438477 91.025 99.7196
49.804688 91.588 86.8877
50.170898 91.729 74.4573
50.537109 91.544 63.0493
50.903320 91.167 52.8585
51.269531 90.730 43.4574
51.635742 90.288 33.8330
52.001953 89.767 22.9026
52.368164 88.983 10.1093
52.734375 87.704 -4.4127
53.100586 85.640 -19.9126
53.466797 82.315 -34.6438
53.833008 76.590 -42.2520
54.199219 68.818 5.5051
54.565430 75.399 46.4231
54.931641 79.062 38.4078
55.297852 80.092 25.6416
55.664062 79.341 16.7139
56.030273 77.590 21.2029
56.396484 78.123 41.9453
56.762695 81.633 49.4672
57.128906 84.718 41.0818
57.495117 86.716 25.9453
57.861328 87.770 7.8704
58.227539 88.018 -11.7433
58.593750 87.527 -32.3776
58.959961 86.293 -53.9198
59.326172 84.205 -76.5701
59.692383 80.936 -101.1451
60.058594 75.496 -131.3939
60.424805 65.723 153.4294
60.791016 72.394 49.3354
61.157227 77.219 17.3204
61.523438 79.127 -4.4022
61.889648 79.257 -19.8691
62.255859 77.936 -25.0471
62.622070 76.644 -9.7214
62.988281 79.128 12.9978
63.354492 82.966 17.4603
63.720703 85.821 12.5227
64.086914 87.700 5.5758
64.453125 88.926 -0.4983
64.819336 89.826 -4.9238
65.185547 90.634 -8.3907
65.551758 91.380 -12.1567
65.917969 91.932 -16.7767
66.284180 92.162 -21.6799
66.650391 92.077 -25.6741
67.016602 91.870 -27.8906
67.382812 91.832 -29.0304
67.749023 92.053 -31.5228
68.115234 92.269 -37.3872
68.481445 92.107 -46.7577
68.847656 91.270 -58.5139
69.213867 89.518 -70.8746
69.580078 86.571 -80.5985
69.946289 82.302 -78.7067
70.312500 79.904 -50.5717
70.678711 82.742 -34.9116
71.044922 85.332 -42.6147
71.411133 86.717 -58.1199
71.777344 87.198 -75.5509
72.143555 86.980 -92.1792
72.509766 86.176 -105.9341
72.875977 84.932 -114.6198
73.242188 83.642 -116.1140
73.608398 83.067 -111.1665
73.974609 83.577 -105.9657
74.340820 84.529 -105.3502
74.707031 85.218 -108.7681
75.073242 85.327 -113.9211
75.439453 84.754 -118.4623
75.805664 83.542 -119.6715
76.171875 82.079 -114.3750
76.538086 81.335 -102.5455
76.904297 81.805 -91.7555
77.270508 82.605 -87.0476
77.636719 82.983 -86.0092
78.002930 82.857 -84.9021
78.369141 82.552 -81.5607
78.735352 82.487 -76.7074
79.101562 82.708 -72.9551
79.467773 82.907 -71.1792
79.833984 82.919 -69.8149
80.200195 82.967 -67.3328
80.566406 83.437 -64.9585
80.932617 84.316 -66.0758
81.298828 85.164 -72.2144
81.665039 85.603 -82.3113
82.031250 85.465 -94.3788
82.397461 84.727 -106.1396
82.763672 83.517 -114.8060
83.129883 82.325 -117.5055
83.496094 82.079 -115.2340
83.862305 83.024 -115.2144
84.228516 84.268 -121.2194
84.594727 85.088 -131.1912
84.960938 85.210 -142.1426
85.327148 84.545 -151.3588
85.693359 83.138 -155.6129
86.059570 81.462 -150.7148
86.425781 80.867 -136.7510
86.791992 81.905 -124.8362
87.158203 83.264 -120.4344
87.524414 84.156 -119.9926
87.890625 84.545 -120.1125
88.256836 84.620 -119.3484
88.623047 84.528 -117.7485
88.989258 84.240 -115.6804
89.355469 83.623 -112.2964
89.721680 82.748 -104.8539
90.087891 82.364 -91.1652
90.454102 83.422 -77.0995
90.820312 85.293 -71.3151
91.186523 86.871 -73.6528
91.552734 87.727 -80.8492
91.918945 87.771 -90.5354
92.285156 86.977 -101.1110
92.651367 85.307 -111.0435
93.017578 82.731 -117.9368
93.383789 79.507 -117.0653
93.750000 77.228 -104.3486
94.116211 77.697 -94.0092
94.482422 79.199 -98.7559
94.848633 80.480 -113.2322
95.214844 81.468 -131.4711
95.581055 82.189 -149.6503
95.947266 82.558 -165.4158
96.313477 82.464 -177.2382
96.679688 81.889 176.4280
97.045898 81.074 177.5673
97.412109 80.756 -173.3660
97.778320 81.635 -161.8706
98.144531 83.289 -154.7046
98.510742 84.935 -152.5099
98.876953 86.246 -153.3359
99.243164 87.164 -155.6930
99.609375 87.697 -158.7177
99.975586 87.852 -161.7544
100.341797 87.649 -164.0442
100.708008 87.171 -164.6812
101.074219 86.622 -163.0559
101.440430 86.276 -159.8435
101.806641 86.232 -157.2440
102.172852 86.253 -157.0916
102.539062 85.985 -159.2356
102.905273 85.186 -161.8408
103.271484 83.837 -161.8564
103.637695 82.406 -155.6643
104.003906 82.039 -144.2096
104.370117 83.067 -136.8961
104.736328 84.386 -138.0836
105.102539 85.281 -144.9662
105.468750 85.621 -154.4048
105.834961 85.480 -164.2906
106.201172 85.002 -173.2393
106.567383 84.363 179.4937
106.933594 83.710 173.9391
107.299805 83.083 169.7510
107.666016 82.406 167.1449
108.032227 81.667 167.6025
108.398438 81.217 172.8850
108.764648 81.727 -178.9835
109.130859 83.191 -174.2207
109.497070 84.821 -175.3232
109.863281 86.064 179.6731
110.229492 86.768 173.3812
110.595703 87.000 167.8923
110.961914 86.981 164.5447
111.328125 87.028 163.2538
111.694336 87.327 162.1467
112.060547 87.733 159.1576
112.426758 87.923 153.9131
112.792969 87.649 147.6404
113.159180 86.827 142.4489
113.525391 85.626 140.9331
113.891602 84.641 144.5535
114.257812 84.572 149.6292
114.624023 85.173 149.7426
114.990234 85.626 143.5059
115.356445 85.439 132.8960
115.722656 84.384 119.9358
116.088867 82.223 106.2766
116.455078 78.394 94.2577
116.821289 70.957 94.7911
117.187500 68.059 -175.4424
117.553711 76.181 -165.0125
117.919922 79.936 -176.9149
118.286133 81.918 167.6982
118.652344 82.831 151.3044
119.018555 82.845 134.9543
119.384766 81.879 119.9006
119.750977 79.619 109.0249
120.117188 75.677 112.4199
120.483398 73.999 150.9795
120.849609 78.490 170.9929
121.215820 81.831 166.9338
121.582031 83.494 157.6193
121.948242 83.897 149.2356
122.314453 83.430 145.7440
122.680664 82.874 150.1989
123.046875 83.372 159.3265
123.413086 84.824 164.2483
123.779297 86.185 163.3496
124.145508 86.995 160.1830
124.511719 87.344 158.0138
124.877930 87.619 158.2950
125.244141 88.218 159.6569
125.610352 89.132 159.1964
125.976562 90.009 155.7688
126.342773 90.565 150.4169
126.708984 90.729 144.9043
127.075195 90.617 140.7523
127.441406 90.475 138.5369
127.807617 90.534 137.3340
128.173828 90.802 135.4255
128.540039 91.086 131.9717
128.906250 91.215 127.4545
129.272461 91.158 122.8345
129.638672 91.015 118.6102
130.004883 90.892 114.2971
130.371094 90.763 108.7797
130.737305 90.436 101.3492
131.103516 89.650 92.3302
131.469727 88.147 83.1372
131.835938 85.700 76.8057
132.202148 82.409 80.2058
132.568359 80.412 100.5043
132.934570 81.809 115.6897
133.300781 83.423 113.6161
133.666992 83.831 104.0066
134.033203 82.928 93.7726
134.399414 80.827 89.8231
134.765625 78.926 102.1079
135.131836 80.472 118.9817
135.498047 83.378 117.7865
135.864258 85.379 105.6626
136.230469 86.242 89.5988
136.596680 85.960 72.8606
136.962891 84.366 58.0228
137.329102 80.994 50.3611
137.695312 76.108 70.4174
138.061523 78.180 113.5865
138.427734 82.300 118.3236
138.793945 84.284 111.3011
139.160156 84.657 104.1116
139.526367 83.931 102.2701
139.892578 83.087 109.9991
140.258789 83.598 122.7909
140.625000 85.126 129.5199
140.991211 86.380 129.9696
141.357422 87.014 128.9517
141.723633 87.331 129.6641
142.089844 87.847 131.8745
142.456055 88.723 132.2858
142.822266 89.586 128.6958
143.188477 90.023 121.7972
143.554688 89.848 113.5238
143.920898 89.067 105.9244
144.287109 87.869 100.6984
144.653320 86.596 98.1823
145.019531 85.466 96.3425
145.385742 84.163 92.8953
145.751953 81.948 89.3722
146.118164 78.135 96.2725
146.484375 76.485 135.5688
146.850586 80.982 154.6284
147.216797 84.262 147.6870
147.583008 85.727 133.9342
147.949219 85.667 119.8346
148.315430 84.171 110.7123
