"Sens Factor =-1.849dB, SERNO: 7164434"
416.517	0.0865
421.702	0.0804
426.951	0.0745
432.266	0.0688
437.648	0.0634
443.096	0.0581
448.612	0.0531
454.196	0.0481
459.851	0.0432
465.575	0.0384
471.371	0.0335
477.239	0.0285
483.18	0.0235
489.195	0.0186
495.285	0.0136
501.45	0.0087
507.693	0.0039
514.013	-0.0008
520.412	-0.0053
526.89	-0.0097
533.449	-0.0141
540.09	-0.0184
546.814	-0.0225
553.621	-0.0264
560.513	-0.0300
567.49	-0.0332
574.555	-0.0358
581.707	-0.0379
588.949	-0.0392
596.281	-0.0399
603.703	-0.0397
611.219	-0.0387
618.828	-0.0368
626.531	-0.0342
634.331	-0.0310
642.228	-0.0271
650.222	-0.0227
658.317	-0.0179
666.512	-0.0129
674.809	-0.0082
683.21	-0.0041
691.715	-0.0008
700.326	0.0017
709.044	0.0034
717.871	0.0046
726.807	0.0055
735.855	0.0063
745.016	0.0072
754.29	0.0082
763.68	0.0094
773.187	0.0109
782.812	0.0127
792.557	0.0148
802.424	0.0171
812.413	0.0196
822.526	0.0222
832.766	0.0248
843.133	0.0273
853.629	0.0295
864.255	0.0311
875.014	0.0319
885.907	0.0319
896.935	0.0308
908.101	0.0287
919.406	0.0257
930.851	0.0216
942.439	0.0165
954.171	0.0102
966.049	0.0026
978.076	-0.0064
990.251	-0.0165
1002.579	-0.0276
1015.06	-0.0393
1027.696	-0.0513
1040.489	-0.0632
1053.442	-0.0750
1066.556	-0.0864
1079.833	-0.0973
1093.276	-0.1077
1106.886	-0.1176
1120.665	-0.1268
1134.616	-0.1355
1148.741	-0.1436
1163.041	-0.1509
1177.519	-0.1578
1192.178	-0.1643
1207.019	-0.1706
1222.045	-0.1766
1237.258	-0.1826
1252.66	-0.1885
1268.254	-0.1943
1284.042	-0.2000
1300.027	-0.2056
1316.211	-0.2111
1332.596	-0.2166
1349.185	-0.2221
1365.981	-0.2274
1382.985	-0.2327
1400.202	-0.2377
1417.633	-0.2423
1435.28	-0.2463
1453.148	-0.2496
1471.238	-0.2519
1489.553	-0.2533
1508.096	-0.2537
1526.87	-0.2533
1545.877	-0.2522
1565.121	-0.2503
1584.605	-0.2478
1604.332	-0.2445
1624.303	-0.2405
1644.524	-0.2358
1664.996	-0.2306
1685.723	-0.2251
1706.708	-0.2195
1727.955	-0.2138
1749.466	-0.2082
1771.244	-0.2024
1793.294	-0.1964
